"regionUbigeo","provinciaUbigeo","regionNombre","provinciaNombre","pob2012","ide2012","identificacion2012","medicos2012","escolaridad2012","AguaDesague2012","electrificacion2012"
"010000","010200","AMAZONAS","Bagua",77438,0.662280465037476,94.6078682322461,14.6091208749147,79.7901777009384,64.4790366868095,67.9146151072194
"010000","010300","AMAZONAS","Bongará",32317,0.631824919833367,97.4680694513995,9.01020653545083,76.4240365828468,54.8340817861028,72.1692612039163
"010000","010400","AMAZONAS","Condorcanqui",51802,0.459824173597397,86.2319624905838,8.55695928497234,52.2149353110648,37.7145088545918,39.4890813341711
"010000","010500","AMAZONAS","Luya",52185,0.604719775637725,96.1927219922652,12.4180032084221,74.7259663466953,43.3484182989154,67.3961091669496
"010000","010600","AMAZONAS","Rodríguez de Mendoza",30236,0.631226426723784,97.3431010253288,14.8786824611005,79.4243877443495,46.5018166162657,67.5461038741139
"010000","010700","AMAZONAS","Utcubamba",118747,0.609660534739041,95.1744937395295,10.1101666440081,77.1683276114611,52.5195136842157,63.117654594301
"010000","010100","AMAZONAS","Chachapoyas",54783,0.773699477657478,98.6178812027365,25.4500237190494,91.4985624572565,70.3454021420598,83.9711868282706
"020000","020100","ANCASH","Huaraz",161003,0.811880564001954,98.5072985419776,21.8066428435088,95.006306055172,82.9326370338308,93.1496356308154
"020000","020200","ANCASH","Aija",7974,0.657925273037587,98.2343929737554,8.5939847495821,89.4989061112585,47.784067703831,79.1219618139786
"020000","020400","ANCASH","Asunción",9013,0.697491735515666,97.1484141700288,17.1890336389708,81.5382977227226,67.1184431573305,74.2923233094665
"020000","020500","ANCASH","Bolognesi",32452,0.675666676241087,96.3739886078413,9.41653220693649,85.2385481580338,61.3850058031049,79.1415752066694
"020000","020600","ANCASH","Carhuaz",46434,0.69555647444528,98.4723747790936,10.2247120765846,72.0569553818131,73.2979284303458,86.90979183708
"020000","020300","ANCASH","Antonio Raymondi",16879,0.611336328325434,96.8158024602868,4.99225174456922,77.7373660574849,48.9181135194533,73.8764625512101
"020000","020800","ANCASH","Casma",46032,0.746594792034058,96.9521068348838,10.0440532421896,89.7710605527982,81.957152118041,87.8769877743235
"020000","020900","ANCASH","Corongo",8340,0.67022278161383,96.2646260863106,11.3026639324441,78.1769094843783,61.6928618807403,80.1392201347458
"020000","021000","ANCASH","Huari",63726,0.674625925495003,97.3123172708473,14.087040856971,76.3535631780969,60.0936162756935,80.0750645945787
"020000","021100","ANCASH","Huarmey",29972,0.757379090882316,98.0051086480731,13.3628073991574,95.5121609703589,75.2565785519847,87.6443516054788
"020000","021200","ANCASH","Huaylas",56102,0.661520784700173,97.3925979224481,14.3251389402765,63.7338144406263,69.3449812607172,76.4137671591676
"020000","021300","ANCASH","Mariscal Luzuriaga",23888,0.518845570941175,96.6549222575169,5.201951490145,69.0839720913413,31.2853883408964,53.7285836305911
"020000","021400","ANCASH","Ocros",10283,0.636652641923622,97.9574266657836,7.42938109451286,93.4748284800739,42.7467586704333,71.7650053213324
"020000","021500","ANCASH","Pallasca",30536,0.612171838104907,94.536225337617,9.77863345369054,75.6362061156456,44.6600281385007,74.9557370378724
"020000","021600","ANCASH","Pomabamba",29196,0.578944804598102,96.638874594808,14.5264329898846,63.9209631670631,49.7640001808031,54.9378427065693
"020000","021700","ANCASH","Recuay",19509,0.711029062976656,97.7199013071141,10.259051386409,90.288919283721,73.4154037801817,76.9918881399629
"020000","021800","ANCASH","Santa",427157,0.824533783856853,98.0870987100534,19.7012934972873,96.4345589865802,88.6280552088457,96.2816898608018
"020000","021900","ANCASH","Sihuas",31006,0.609063642025425,96.7048851956094,12.0563576227602,69.5418112061541,43.0136642119573,75.1775310277248
"020000","020700","ANCASH","Carlos Fermín Fitzcarrald",21920,0.498242674326282,97.0656457264075,9.08708838433519,59.7295463388697,29.43359798733,47.7473998033085
"020000","022000","ANCASH","Yungay",57969,0.624904196741051,97.2750497722749,10.2297504154968,62.3539572099439,67.3776240107752,68.3958833517034
"030000","030200","APURÍMAC","Andahuaylas",163662,0.718037352851028,98.3660248128416,12.4028133981761,83.7087934165167,72.2969695766081,83.975532955921
"030000","030300","APURÍMAC","Antabamba",13399,0.570037351677273,96.1607934162113,5.32110980818439,91.0550220753983,25.2834661337305,63.6508778663222
"030000","030400","APURÍMAC","Aymaraes",32722,0.610951851730436,97.5101543466583,4.9545646402963,92.2419394694893,34.5555838244002,72.9106404908431
"030000","030500","APURÍMAC","Cotabambas",51667,0.542556871042953,95.6449076956936,6.06236506757361,74.0474553162129,33.9879619420372,57.4941687882434
"030000","030600","APURÍMAC","Chincheros",57750,0.62399046607037,97.9659640529197,7.1635680073814,81.5050410027967,53.1856524226351,67.399295544531
"030000","030700","APURÍMAC","Grau",26987,0.582702581802974,95.6384217262863,8.58454394831424,82.4631854622979,27.8333210741642,71.108789391548
"030000","030100","APURÍMAC","Abancay",105694,0.746642109253456,97.9041869987468,16.9310970254918,93.6908633991331,63.0011317004885,90.5063774858735
"040000","040100","AREQUIPA","Arequipa",936464,0.907512557118667,99.4182724851229,40.4944042730821,93.4114350400293,95.5407604021261,97.895136843585
"040000","040200","AREQUIPA","Camaná",57187,0.781056207757905,98.7280104508888,21.3335198559113,90.3838336351287,82.9673999651098,82.8929934013064
"040000","040400","AREQUIPA","Castilla",38990,0.740603065239329,98.5588913783031,12.3108489356245,82.4862553687843,85.1319724960473,83.6063318171554
"040000","040500","AREQUIPA","Caylloma",86542,0.66210570508519,98.578002879697,10.977328926995,84.3677325877489,58.4540584416225,71.3575104218683
