ÍNDICE DE DENSIDAD DEL ESTADO 2012: DEPARTAMENTAL Y PROVINCIAL,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Ubigeo 2010,DEPARTAMENTO,,,,,,IDE,,IDENTIDAD,,SALUD,,EDUCACIÓN,,SANEAMIENTO,,ELECTRIFICACIÓN,
,,,,,Población 2012,,Índice de Densidad del Estado,,Población con acta nacimiento o DNI,,"Médicos por cada 10,000 habitantes",,Tasa asistencia a Secundaria (Pob. 12 a 16 años),,Viviendas con agua y desague,,Viviendas electrificadas,
,,Provincia,,,,,,,,,,,,,,,,
,,Distrito,,, habitantes ,ranking, IDE ,ranking,%,ranking,Razon,ranking,%,ranking,%,ranking,%,Ranking
,,,,,,,,,,,,,,,,,,
211100,,San Román,,,"276,352",17,0.7813,21, 99.0267 ,42,15.5070,46,94.0194,17,72.2405,51,99.5000,5
211200,,Sandia,,,"68,253",92,0.6152,114, 98.5936 ,60,6.4219,146,84.2576,80,50.2309,115,63.8324,134
211300,,Yunguyo,,,"48,179",127,0.6807,67, 98.3785 ,72,6.8712,139,87.1140,57,52.7099,101,90.6861,21
220000,SAN MARTÍN,,,,"806,452",14,0.6925,15, 96.2981 ,22,11.9133,17,85.0905,12,68.3715,13,76.6220,20
220100,,Moyobamba,,,"136,414",43,0.6832,66, 95.7572 ,165,9.9368,106,83.2734,91,72.5388,48,73.4589,100
220200,,Bellavista,,,"55,815",112,0.6256,108, 94.1988 ,182,7.9790,126,76.7049,131,59.9836,80,68.6068,116
220300,,El Dorado,,,"38,152",138,0.6066,124, 96.8349 ,135,7.7403,130,66.9119,169,68.0806,58,58.5684,154
220400,,Huallaga,,,"25,357",162,0.6600,86, 96.7308 ,141,11.4771,79,78.1732,119,74.7704,41,61.2204,147
220500,,Lamas,,,"83,825",74,0.6051,125, 96.5570 ,145,6.3469,148,72.5867,151,61.5244,76,61.2970,146
220600,,Mariscal Cáceres,,,"51,489",122,0.6922,61, 96.0263 ,161,9.9810,105,85.2023,72,75.5526,39,72.7025,103
220700,,Picota,,,"42,369",133,0.6884,64, 96.1658 ,156,7.8023,129,82.3184,100,73.9773,43,78.7176,71
220800,,Rioja,,,"120,387",50,0.6672,75, 95.4084 ,172,10.3815,96,83.0830,95,58.2882,87,79.4966,67
220900,,San Martín,,,"179,184",28,0.8285,10, 98.3258 ,77,21.3298,20,99.5000,3,85.3935,15,95.5041,10
221000,,Tocache,,,"73,460",82,0.6456,91, 94.9457 ,176,10.5095,93,92.4323,28,43.6077,134,74.3133,95
230000,TACNA,,,,"328,915",21,0.8953,1, 99.4979 ,1,42.6554,1,90.2283,3,92.6816,3,94.1327,4
230100,,Tacna,,,"302,852",14,0.9104,1, 99.4928 ,14,44.7413,1,90.0518,41,95.8766,5,95.2144,11
230200,,Candarave,,,"8,435",189,0.6521,88, 99.5000 ,11,7.1132,134,90.0467,42,40.1112,148,84.5340,50
230300,,Jorge Basadre,,,"9,641",187,0.8487,7, 99.5000 ,12,30.0799,6,97.3276,6,83.9754,24,93.4183,15
230400,,Tarata,,,"7,987",192,0.7414,41, 99.3157 ,24,22.5366,14,90.1730,40,68.7254,57,74.9025,89
240000,TUMBES,,,,"228,227",23,0.7375,10, 98.7874 ,9,14.9200,13,84.7426,14,74.7587,9,85.5824,8
240100,,Tumbes,,,"159,548",32,0.7622,29, 99.1184 ,37,18.3820,30,86.2661,61,77.6778,34,87.4196,37
240200,,Contralmirante Villar,,,"19,180",174,0.6659,77, 99.1872 ,34,6.6236,144,81.4642,105,59.7919,81,81.4494,58
240300,,Zarumilla,,,"49,499",126,0.6849,65, 97.4754 ,112,6.9758,135,81.2087,106,71.0227,52,81.1197,60
250000,UCAYALI,,,,"477,616",18,0.6202,23, 96.1579 ,23,10.7500,20,80.8200,19,35.6129,24,79.5958,14
250100,,Coronel Portillo,,,"366,040",11,0.6670,76, 97.5922 ,109,12.5195,67,85.4286,69,42.8511,139,86.7715,43
250200,,Atalaya,,,"50,569",124,0.4245,194, 84.2895 ,193,4.5206,181,55.4652,188,13.2425,193,51.7253,170
250300,,Padre Abad,,,"56,756",110,0.5023,183, 97.3087 ,119,4.4984,183,73.2013,149,13.2430,192,59.8946,149
250400,,Purús,,,"4,251",194,0.4473,192, 91.9667 ,187,15.9542,43,51.3878,192,0.2351,194,53.4704,167
"a/ Incluye las cifras estimadas del distrito de Carmen Alto en la provincia de Huamanga, departamento de Ayacucho, donde. Autoridades locales no permitieron la ejecución del Censo de Población y Vivienda 2007. ",,,,,,,,,,,,,,,,,,
1/ Incluye a la población ubicada en área temporal por límites de fronteras de los distritos de Pangoa y Mazamari.,,,,,,,,,,,,,,,,,,
Fuente: INEI. Censo de Población y Vivienda 2007. ENAHO 2012 y ENAPRES 2012.,,,,,,,,,,,,,,,,,,
Elaboración: PNUD-Perú.,,,,,,,,,,,,,,,,,,
