ÍNDICE DE DENSIDAD DEL ESTADO 2012: DEPARTAMENTAL Y PROVINCIAL,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Ubigeo 2010,DEPARTAMENTO,,,,,,IDE,,IDENTIDAD,,SALUD,,EDUCACIÓN,,SANEAMIENTO,,ELECTRIFICACIÓN,
,,,,,Población 2012,,Índice de Densidad del Estado,,Población con acta nacimiento o DNI,,"Médicos por cada 10,000 habitantes",,Tasa asistencia a Secundaria (Pob. 12 a 16 años),,Viviendas con agua y desague,,Viviendas electrificadas,
,,Provincia,,,,,,,,,,,,,,,,
,,Distrito,,, habitantes ,ranking, IDE ,ranking,%,ranking,Razon,ranking,%,ranking,%,ranking,%,Ranking
,,,,,,,,,,,,,,,,,,
040500,,Caylloma,,,"86,542",70,0.6621,83, 98.5780 ,62,10.9773,85,84.3677,79,58.4541,86,71.3575,107
040600,,Condesuyos,,,"18,540",175,0.6454,92, 97.9444 ,93,12.9450,63,83.2657,92,64.6445,66,55.2726,163
040700,,Islay,,,"53,047",116,0.8179,13, 98.5040 ,66,18.6627,27,94.2023,15,92.6318,8,92.5200,17
040800,,La Unión,,,"15,164",178,0.6325,100, 96.7653 ,140,19.7837,23,71.4648,157,61.8834,73,53.1603,168
050000,AYACUCHO,,,,"666,029",16,0.6433,19, 99.0850 ,7,12.9380,15,78.2234,23,52.4807,19,70.3186,22
050100,,Huamanga,,,"261,382",18,0.7591,31, 99.4419 ,16,19.1627,25,83.5629,89,74.3072,42,90.3163,25
050200,,Cangallo,,,"34,298",139,0.5701,155, 99.5000 ,3,10.6072,92,70.7635,160,45.1408,130,51.9452,169
050300,,Huanca Sancos,,,"10,472",185,0.5723,152, 99.5000 ,4,10.4056,95,85.4506,68,26.8577,181,56.9772,160
050400,,Huanta,,,"102,619",58,0.5971,131, 98.3271 ,76,7.8265,128,72.0394,155,50.3193,114,64.8231,132
050500,,La Mar,,,"87,160",69,0.4946,185, 98.2364 ,79,5.9239,161,61.5692,180,30.5293,175,47.0695,180
050600,,Lucanas,,,"67,167",94,0.6193,111, 99.1895 ,33,10.0509,102,91.0306,36,36.7625,160,65.8977,128
050700,,Parinacochas,,,"32,023",147,0.6471,90, 99.4064 ,20,13.4073,58,83.9144,85,43.3083,137,74.5507,93
050800,,Paucar del Sara Sara,,,"11,028",184,0.7159,49, 98.6650 ,58,14.4225,52,93.9172,18,54.0318,98,87.2830,38
050900,,Sucre,,,"12,255",183,0.6307,105, 99.2637 ,30,12.7053,65,86.8535,58,38.4042,154,69.6481,113
051000,,Víctor Fajardo,,,"24,213",163,0.6156,113, 99.1369 ,36,8.7686,117,77.8064,122,46.8821,123,69.3787,115
051100,,Vilcas Huamán,,,"23,412",166,0.5349,174, 99.1387 ,35,7.8826,127,72.0250,156,45.8992,126,37.2551,192
060000,CAJAMARCA,,,,"1,513,892",4,0.6215,22, 96.5668 ,20,9.5116,23,78.5922,21,53.2424,18,66.4905,23
060100,,Cajamarca,,,"368,639",10,0.7481,37, 98.0678 ,86,15.7259,45,86.1347,64,76.1244,37,87.5310,36
060200,,Cajabamba,,,"80,086",76,0.5979,130, 95.2706 ,173,6.2862,152,66.8311,170,63.4764,69,62.8870,141
060300,,Celendín,,,"95,433",62,0.5890,135, 96.3898 ,148,6.3241,151,68.4681,165,57.1751,91,61.9291,143
060400,,Chota,,,"167,670",29,0.5856,138, 95.8657 ,163,6.9577,136,79.1340,116,41.0023,145,65.2231,129
060500,,Contumazá,,,"32,602",142,0.6327,99, 96.9500 ,132,8.5074,121,89.5479,45,51.3358,113,64.3249,133
060600,,Cutervo,,,"143,667",38,0.5462,171, 97.1251 ,124,10.0209,104,72.5216,152,36.2101,162,50.5428,174
060700,,Hualgayoc,,,"100,009",61,0.5614,163, 96.2240 ,153,6.0375,158,71.3687,158,51.6709,109,51.3883,171
060800,,Jaén,,,"198,354",24,0.6372,96, 95.8130 ,164,10.8123,88,83.2315,93,44.7478,131,76.7748,77
060900,,San Ignacio,,,"145,478",37,0.5762,150, 95.7543 ,166,5.6695,164,76.5965,132,47.2578,122,59.0290,152
061000,,San Marcos,,,"54,622",114,0.5805,146, 95.5956 ,170,4.4653,184,69.8850,161,66.3363,62,50.9721,173
061100,,San Miguel,,,"57,492",107,0.5787,148, 96.5258 ,146,6.9082,137,85.7770,65,48.1129,120,47.3965,179
061200,,San Pablo,,,"23,885",165,0.5587,167, 96.9911 ,129,3.7146,187,75.1291,139,55.0860,95,45.9765,181
061300,,Santa Cruz,,,"45,955",130,0.5349,175, 96.0784 ,159,6.7198,142,87.9763,54,13.7900,191,58.3943,155
070100,,Callao,,,"969,170",12,0.8514,4, 99.4939 ,2,26.4218,4,89.8493,4,93.0432,2,99.2529,1
080000,CUSCO,,,,"1,292,175",7,0.7092,13, 97.4959 ,19,15.2967,12,88.2185,6,61.3269,15,82.0780,12
080100,,Cusco,,,"427,580",8,0.8762,5, 97.8854 ,99,30.5147,5,99.5000,1,90.3696,10,99.5000,1
080200,,Acomayo,,,"28,318",156,0.6331,98, 97.1990 ,122,10.4537,94,83.1267,94,48.2393,119,70.5703,112
080300,,Anta,,,"57,262",108,0.6379,95, 97.9755 ,89,4.6273,178,82.8919,96,43.5397,135,86.8348,42
080400,,Calca,,,"72,583",85,0.6321,102, 96.9540 ,130,6.3367,150,77.7240,125,52.6436,103,78.1668,73
080500,,Canas,,,"39,973",134,0.5680,159, 98.3403 ,75,5.3289,165,84.5397,76,34.0964,166,58.1530,156
080600,,Canchis,,,"102,826",57,0.7344,43, 97.8380 ,101,10.8021,89,92.7148,26,70.1059,55,88.5203,29
080700,,Chumbivilcas,,,"81,878",75,0.5329,177, 97.8608 ,100,6.0491,156,76.0087,135,39.4397,153,43.0746,185
080800,,Espinar,,,"68,390",91,0.6109,119, 98.7317 ,54,8.9812,115,88.4132,51,45.8511,127,57.4631,159
080900,,La Convención,,,"179,515",27,0.6069,123, 96.3227 ,150,9.2718,111,84.7681,75,40.9197,146,66.0037,126
081000,,Paruro,,,"31,521",148,0.5573,168, 97.6097 ,107,4.8544,173,74.8891,140,41.1514,144,56.9302,161
081100,,Paucartambo,,,"50,323",125,0.5599,164, 96.7844 ,139,6.1349,154,59.7834,185,46.3203,125,66.8591,124
081200,,Quispicanchi,,,"88,967",66,0.6180,112, 97.6088 ,108,4.9016,172,74.7613,142,52.6529,102,75.8022,83
081300,,Urubamba,,,"63,039",97,0.7234,45, 96.0675 ,160,11.1369,84,89.0927,47,59.2273,82,98.7497,6
090000,HUANCAVELICA,,,,"483,580",17,0.5980,25, 98.2493 ,12,5.3843,25,80.7973,20,32.6758,25,78.2990,15
090100,,Huancavelica,,,"153,773",35,0.6477,89, 98.9226 ,46,8.4463,122,83.9779,84,40.4136,147,86.4489,45
090200,,Acobamba,,,"73,243",83,0.5771,149, 98.7516 ,53,2.6282,193,77.5408,126,31.1721,174,76.7208,78
090300,,Angaraes,,,"60,816",100,0.5913,133, 98.4390 ,70,3.0040,190,76.8243,130,36.9268,159,78.4647,72
090400,,Castrovirreyna,,,"19,500",173,0.5652,161, 98.0852 ,84,4.7333,175,99.5000,2,20.8772,190,56.2698,162
090500,,Churcampa,,,"45,172",132,0.5615,162, 97.9364 ,94,3.7926,186,75.4469,137,25.9138,182,75.1098,86
090600,,Huaytará,,,"23,361",167,0.5709,154, 97.4424 ,115,6.9062,138,93.0713,25,24.0430,186,59.3830,151
090700,,Tayacaja,,,"107,715",54,0.5827,141, 97.2705 ,121,4.6864,176,77.7900,123,28.8652,178,79.6273,66
100000,HUÁNUCO,,,,"840,984",13,0.6222,21, 96.3517 ,21,15.8583,11,78.2961,22,48.7970,22,61.2319,25
100100,,Huánuco,,,"301,396",15,0.7179,47, 97.4669 ,114,21.9022,16,84.4585,77,65.5353,64,74.9612,87
100200,,Ambo,,,"57,957",105,0.5594,166, 97.9204 ,96,11.1829,83,74.8834,141,25.5836,183,62.6859,142
100300,,Dos de Mayo,,,"52,025",118,0.5822,144, 96.8027 ,137,13.0303,62,74.0063,147,49.4522,117,49.1357,176
100400,,Huacaybamba,,,"22,403",169,0.5826,143, 96.5215 ,147,6.5479,145,66.9303,168,53.1725,100,63.7385,135
100500,,Huamalies,,,"73,621",81,0.5598,165, 94.9934 ,175,11.3609,80,75.2894,138,41.5260,143,49.1445,175
100600,,Leoncio Prado,,,"129,953",46,0.6803,68, 95.4785 ,171,18.5407,28,91.4246,33,51.5353,111,70.8055,110
100700,,Marañón,,,"30,594",151,0.4770,189, 96.8355 ,134,6.7634,141,64.0645,174,23.8282,187,42.5136,187
100800,,Pachitea,,,"69,003",89,0.4821,187, 94.7089 ,179,8.9220,116,52.4708,190,35.9075,163,43.0686,186
100900,,Puerto Inca,,,"32,060",146,0.4807,188, 90.0761 ,190,13.7197,57,68.0194,166,25.5408,184,33.8304,194
101000,,Lauricocha,,,"38,257",137,0.5554,170, 96.3078 ,151,11.2596,82,82.0013,101,36.3976,161,44.2322,183
101100,,Yarowilca,,,"33,715",140,0.5294,178, 98.2606 ,78,9.5985,108,76.9046,128,31.8684,172,41.6769,189
110000,ICA,,,,"763,558",15,0.7920,6, 99.4455 ,3,22.3624,8,86.2565,9,86.0891,5,86.9209,7
110100,,Ica,,,"349,036",12,0.8450,8, 99.5035 ,1,30.0232,7,87.7433,55,94.2660,7,90.9563,20
110200,,Chincha,,,"210,098",23,0.7622,30, 99.4989 ,13,16.2647,41,84.4472,78,83.1503,25,86.8764,40
110300,,Nazca,,,"58,817",103,0.7812,22, 99.3843 ,21,18.7779,26,87.5390,56,84.1663,23,88.2205,30
