ubiProv,ubiReg,DEPARTAMENTO,PROVINCIA,IDE,IDENTIDAD,SALUD,EDUCACION,SANEAMIENTO,ELECTRIFICACION,POBLACION,COSTA,CAPITAL
051100,050000,AYACUCHO,Vilcas Huaman,0.5349, 99.1387 ,7.8826,72.0250,45.8992,37.2551,23412,0,0
060100,060000,CAJAMARCA,Cajamarca,0.7481, 98.0678 ,15.7259,86.1347,76.1244,87.5310,368639,0,1
060200,060000,CAJAMARCA,Cajabamba,0.5979, 95.2706 ,6.2862,66.8311,63.4764,62.8870,80086,0,0
060300,060000,CAJAMARCA,Celendin,0.5890, 96.3898 ,6.3241,68.4681,57.1751,61.9291,95433,0,0
060400,060000,CAJAMARCA,Chota,0.5856, 95.8657 ,6.9577,79.1340,41.0023,65.2231,167670,0,0
060500,060000,CAJAMARCA,Contumaza,0.6327, 96.9500 ,8.5074,89.5479,51.3358,64.3249,32602,0,0
060600,060000,CAJAMARCA,Cutervo,0.5462, 97.1251 ,10.0209,72.5216,36.2101,50.5428,143667,0,0
060700,060000,CAJAMARCA,Hualgayoc,0.5614, 96.2240 ,6.0375,71.3687,51.6709,51.3883,100009,0,0
060800,060000,CAJAMARCA,Jaen,0.6372, 95.8130 ,10.8123,83.2315,44.7478,76.7748,198354,0,0
060900,060000,CAJAMARCA,San Ignacio,0.5762, 95.7543 ,5.6695,76.5965,47.2578,59.0290,145478,0,0
061000,060000,CAJAMARCA,San Marcos,0.5805, 95.5956 ,4.4653,69.8850,66.3363,50.9721,54622,0,0
061100,060000,CAJAMARCA,San Miguel,0.5787, 96.5258 ,6.9082,85.7770,48.1129,47.3965,57492,0,0
061200,060000,CAJAMARCA,San Pablo,0.5587, 96.9911 ,3.7146,75.1291,55.0860,45.9765,23885,0,0
061300,060000,CAJAMARCA,Santa Cruz,0.5349, 96.0784 ,6.7198,87.9763,13.7900,58.3943,45955,0,0
070100,070000,CALLAO,Callao,0.8514, 99.4939 ,26.4218,89.8493,93.0432,99.2529,969170,1,1
080100,080000,CUSCO,Cusco,0.8762, 97.8854 ,30.5147,99.5000,90.3696,99.5000,427580,0,1
080200,080000,CUSCO,Acomayo,0.6331, 97.1990 ,10.4537,83.1267,48.2393,70.5703,28318,0,0
080300,080000,CUSCO,Anta,0.6379, 97.9755 ,4.6273,82.8919,43.5397,86.8348,57262,0,0
080400,080000,CUSCO,Calca,0.6321, 96.9540 ,6.3367,77.7240,52.6436,78.1668,72583,0,0
080500,080000,CUSCO,Canas,0.5680, 98.3403 ,5.3289,84.5397,34.0964,58.1530,39973,0,0
080600,080000,CUSCO,Canchis,0.7344, 97.8380 ,10.8021,92.7148,70.1059,88.5203,102826,0,0
