ubiProv,ubiReg,DEPARTAMENTO,PROVINCIA,IDE,IDENTIDAD,SALUD,EDUCACIàN,SANEAMIENTO,ELECTRIFICACIàN
030400,030000,APURÖMAC,Aymaraes,0.6110, 97.5102 ,4.9546,92.2419,34.5556,72.9106
030500,030000,APURÖMAC,Cotabambas,0.5426, 95.6449 ,6.0624,74.0475,33.9880,57.4942
030600,030000,APURÖMAC,Chincheros,0.6240, 97.9660 ,7.1636,81.5050,53.1857,67.3993
030700,030000,APURÖMAC,Grau,0.5827, 95.6384 ,8.5845,82.4632,27.8333,71.1088
040100,040000,AREQUIPA,Arequipa,0.9075, 99.4183 ,40.4944,93.4114,95.5408,97.8951
040200,040000,AREQUIPA,Caman ,0.7811, 98.7280 ,21.3335,90.3838,82.9674,82.8930
040300,040000,AREQUIPA,Caravel¡,0.6946, 98.4929 ,17.5497,80.9079,63.4413,75.1853
040400,040000,AREQUIPA,Castilla,0.7406, 98.5589 ,12.3108,82.4863,85.1320,83.6063
040500,040000,AREQUIPA,Caylloma,0.6621, 98.5780 ,10.9773,84.3677,58.4541,71.3575
040600,040000,AREQUIPA,Condesuyos,0.6454, 97.9444 ,12.9450,83.2657,64.6445,55.2726
040700,040000,AREQUIPA,Islay,0.8179, 98.5040 ,18.6627,94.2023,92.6318,92.5200
040800,040000,AREQUIPA,La Uni¢n,0.6325, 96.7653 ,19.7837,71.4648,61.8834,53.1603
050100,050000,AYACUCHO,Huamanga,0.7591, 99.4419 ,19.1627,83.5629,74.3072,90.3163
050200,050000,AYACUCHO,Cangallo,0.5701, 99.5000 ,10.6072,70.7635,45.1408,51.9452
050300,050000,AYACUCHO,Huanca Sancos,0.5723, 99.5000 ,10.4056,85.4506,26.8577,56.9772
050400,050000,AYACUCHO,Huanta,0.5971, 98.3271 ,7.8265,72.0394,50.3193,64.8231
050500,050000,AYACUCHO,La Mar,0.4946, 98.2364 ,5.9239,61.5692,30.5293,47.0695
050600,050000,AYACUCHO,Lucanas,0.6193, 99.1895 ,10.0509,91.0306,36.7625,65.8977
050700,050000,AYACUCHO,Parinacochas,0.6471, 99.4064 ,13.4073,83.9144,43.3083,74.5507
050800,050000,AYACUCHO,Paucar del Sara Sara,0.7159, 98.6650 ,14.4225,93.9172,54.0318,87.2830
050900,050000,AYACUCHO,Sucre,0.6307, 99.2637 ,12.7053,86.8535,38.4042,69.6481
051000,050000,AYACUCHO,V¡ctor Fajardo,0.6156, 99.1369 ,8.7686,77.8064,46.8821,69.3787
051100,050000,AYACUCHO,Vilcas Huam n,0.5349, 99.1387 ,7.8826,72.0250,45.8992,37.2551
